slots	current	kWh
00:00	0	0
00:15	0	0
00:30	0.61	36.14
00:45	2.06	123.33
01:00	0	0
01:15	0	0
01:30	0	0
01:45	0	0
02:00	0	0
02:15	0	0
02:30	0	0
02:45	0	0
03:00	0	0
03:15	0	0
03:30	0	0
03:45	0	0.01
04:00	0	0
04:15	0	0
04:30	0	0
04:45	0	0
05:00	0	0
05:15	0	0
05:30	0	0
05:45	0	0
06:00	0	0
06:15	0	0
06:30	0	0
06:45	0	0
07:00	0	0
07:15	0.73	43.45
07:30	0	0
07:45	0	0
08:00	0	0
08:15	0	0
08:30	0	0
08:45	0	0
09:00	0	0
09:15	0	0
09:30	0	0
09:45	0	0
10:00	0	0
10:15	0	0
10:30	1.13	68.33
10:45	0	0
11:00	0	0
11:15	0	0
11:30	0	0
11:45	0	0
12:00	0	0
12:15	0	0
12:30	0	0
12:45	0	0
13:00	0	0
13:15	0	0
13:30	0	0
13:45	0	0
14:00	0	0
14:15	0	0
14:30	0	0
14:45	0	0.02
15:00	0	0
15:15	0	0.03
15:30	0	0.07
15:45	0.8	47.78
16:00	0	0
16:15	0	0
16:30	0	0
16:45	0	0
17:00	0	0
17:15	0	0
17:30	0	0
17:45	0	0
18:00	2.93	176.16
18:15	1.77	106.3
18:30	0	0
18:45	0	0
19:00	1.14	68.08
19:15	0	0
19:30	0	0
19:45	0	0
20:00	0	0
20:15	0.73	43.98
20:30	2.65	158.53
20:45	0.84	50.45
21:00	3.37	201.47
21:15	3.36	200.12
21:30	3.36	199.97
21:45	2.74	163.62
22:00	0	0
22:15	0	0
22:30	0	0
22:45	0	0
23:00	1.64	98.45
23:15	0	0
23:30	0	0
23:45	0	0
