slots	current	kWh
00:00	0.03	2.04
00:15	3.4	205.75
00:30	3.4	204.77
00:45	1.95	117.04
01:00	0.86	51.53
01:15	2.96	177.07
01:30	1.95	116.33
01:45	0	0
02:00	0	0
02:15	0	0
02:30	0	0
02:45	0	0
03:00	0	0
03:15	0	0
03:30	0	0
03:45	0	0
04:00	0	0
04:15	0	0
04:30	0	0
04:45	0	0
05:00	0	0
05:15	0	0
05:30	0	0
05:45	0	0
06:00	0	0
06:15	0	0
06:30	0	0
06:45	1.42	84.38
07:00	0	0
07:15	0	0
07:30	0	0
07:45	0	0
08:00	0	0
08:15	0	0.01
08:30	0.07	3.9
08:45	2.36	139.97
09:00	0	0
09:15	0	0
09:30	0	0
09:45	0	0
10:00	0	0
10:15	0	0
10:30	0	0
10:45	0	0
11:00	0	0
11:15	0	0
11:30	0	0
11:45	0	0
12:00	0	0
12:15	0	0
12:30	0	0
12:45	0	0
13:00	0	0
13:15	0	0
13:30	0	0
13:45	0	0
14:00	0	0
14:15	0	0
14:30	0	0
14:45	0	0
15:00	0	0
15:15	0	0
15:30	0	0
15:45	0	0
16:00	0	0
16:15	0	0
16:30	0	0
16:45	1.7	101.5
17:00	3.32	199.66
17:15	0	0
17:30	0	0
17:45	2.93	175.42
18:00	0	0
18:15	0	0
18:30	0	0
18:45	0	0
19:00	0	0
19:15	0	0
19:30	0	0
19:45	0	0
20:00	0	0
20:15	0	0
20:30	0.15	9.02
20:45	3.31	198.01
21:00	0	0
21:15	0	0
21:30	0	0
21:45	0	0
22:00	0	0.01
22:15	0	0
22:30	0	0
22:45	0	0
23:00	0	0
23:15	0	0
23:30	0	0
23:45	0	0
