slots	current	kWh
00:00	0	0
00:15	0	0
00:30	0	0
00:45	0	0
01:00	0.39	23.15
01:15	1.46	86.44
01:30	0.83	49.01
01:45	0.71	42.09
02:00	0	0
02:15	0	0
02:30	0	0
02:45	0	0
03:00	0	0
03:15	0.6	35.51
03:30	3.34	197.61
03:45	0.05	3.1
04:00	0	0.01
04:15	0	0
04:30	0	0
04:45	0	0
05:00	0	0
05:15	0	0
05:30	0	0
05:45	0	0
06:00	0.81	47.89
06:15	0	0
06:30	0	0
06:45	0	0
07:00	0	0
07:15	0.79	47.12
07:30	2.31	137.47
07:45	0	0
08:00	2.35	138.81
08:15	3.35	198.92
08:30	3.15	187.03
08:45	0	0
09:00	0	0
09:15	0	0
09:30	0	0
09:45	0	0
10:00	0	0
10:15	0	0
10:30	0	0
10:45	1.31	79.06
11:00	0.25	15.14
11:15	0	0
11:30	0	0
11:45	0	0
12:00	0	0
12:15	0	0
12:30	0	0
12:45	0	0
13:00	0	0
13:15	0	0.04
13:30	2.07	123.95
13:45	0.79	47.17
14:00	0	0
14:15	0	0
14:30	0	0
14:45	0	0
15:00	0	0
15:15	0	0
15:30	0	0
15:45	0	0
16:00	0	0
16:15	0	0
16:30	0	0
16:45	0	0
17:00	0	0
17:15	0	0
17:30	0	0
17:45	0	0
18:00	0	0
18:15	0	0
18:30	0	0
18:45	0	0
19:00	0	0
19:15	0	0
19:30	0	0
19:45	2.44	144.95
20:00	0.57	33.94
20:15	0	0
20:30	0	0
20:45	0	0
21:00	0	0
21:15	0.83	49.41
21:30	2.57	151.45
21:45	0	0
22:00	1.49	88.32
22:15	0	0
22:30	0	0
22:45	1.37	81.83
23:00	1.17	69.97
23:15	2.63	156.65
23:30	2.17	129.31
23:45	0	0
