deviceID	localDate	localTime	frequency	UTC
HyErn3Blm	2018-07-03	16:31:49	60.016	2018-07-03T02:31:49.000Z
HyErn3Blm	2018-07-03	16:31:49	54.016	2018-07-03T02:31:49.000Z
HyErn3Blm	2018-07-03	16:31:50	54.015	2018-07-03T02:31:50.000Z
HyErn3Blm	2018-07-03	16:31:50	60.009	2018-07-03T02:31:50.000Z
HyErn3Blm	2018-07-03	18:26:10	55.013	2018-07-03T04:26:10.000Z
HyErn3Blm	2018-07-03	18:26:11	60.009	2018-07-03T04:26:11.000Z
HyErn3Blm	2018-07-03	05:15:29	50.321	2018-07-03T15:15:29.000Z
HyErn3Blm	2018-07-03	05:15:30	60.001	2018-07-03T15:15:30.000Z
HyErn3Blm	2018-07-05	10:34:52	59.064	2018-07-05T20:34:52.000Z
HyErn3Blm	2018-07-05	10:34:53	61.382	2018-07-05T20:34:53.000Z
HyErn3Blm	2018-07-05	10:34:53	59.064	2018-07-05T20:34:53.000Z
HyErn3Blm	2018-07-05	11:47:42	61.991	2018-07-05T21:47:42.000Z
HyErn3Blm	2018-07-08	21:12:33	59.799	2018-07-08T07:12:33.000Z
HyErn3Blm	2018-07-08	21:32:38	61.804	2018-07-08T07:32:38.000Z
HyErn3Blm	2018-07-09	13:34:05	59.713	2018-07-09T23:34:05.000Z
HyErn3Blm	2018-07-10	14:02:40	60.643	2018-07-10T00:02:40.000Z
HyErn3Blm	2018-07-10	14:02:41	60.602	2018-07-10T00:02:41.000Z
HyErn3Blm	2018-07-10	14:02:41	59.487	2018-07-10T00:02:41.000Z
HyErn3Blm	2018-07-10	14:02:41	59.698	2018-07-10T00:02:41.000Z
HyErn3Blm	2018-07-10	14:02:44	60.642	2018-07-10T00:02:44.000Z
HyErn3Blm	2018-07-10	14:02:45	59.439	2018-07-10T00:02:45.000Z
HyErn3Blm	2018-07-10	14:02:52	61.977	2018-07-10T00:02:52.000Z
HyErn3Blm	2018-07-10	14:02:53	58.783	2018-07-10T00:02:53.000Z
